,省份,等级,地理分区,城市,City_en,Province_en
317,河北省,4,华北,雄安新区,Xiong'an,Hebei
318,云南省,4,西南,西双版纳傣族自治州,Xishuangbanna,Yunnan
319,安徽省,4,华东,宣城市,Xuancheng,Anhui
320,河南省,4,华中,许昌市,Xuchang,Henan
321,四川省,4,西南,雅安市,Ya’an,Sichuan
322,陕西省,4,西北,延安市,Yanan,Shaanxi
323,吉林省,4,东北,延边朝鲜族自治州,Yanbian,Jilin
324,江苏省,4,华东,盐城市,Yancheng,Jiangsu
325,广东省,4,华南,阳江市,Yangjiang,Guangdong
326,山西省,4,华北,阳泉市,Yangquan,Shanxi
327,江苏省,4,华东,扬州市,Yangzhou,Jiangsu
328,山东省,4,华东,烟台市,Yantai,Shandong
329,四川省,4,西南,宜宾市,Yibin,Sichuan
330,湖北省,4,华中,宜昌市,Yichang,Hubei
331,江西省,4,华中,宜春市,Yichun(Gan),Jiangxi
332,黑龙江省,4,东北,伊春市,Yichun(Hei),Heilongjiang
333,辽宁省,4,东北,营口市,Yingkou,Liaoning
334,江西省,4,华中,鹰潭市,Yingtan,Jiangxi
335,湖南省,4,华中,益阳市,Yiyang,Hunan
336,湖南省,4,华中,永州市,Yongzhou,Hunan
337,湖南省,4,华中,岳阳市,Yueyang,Hunan
338,广西壮族自治区,4,华南,玉林市,Yulin(Gui),Guangxi
339,陕西省,4,西北,榆林市,Yulin(Qin),Shaanxi
340,山西省,4,华北,运城市,Yuncheng,Shanxi
341,广东省,4,华南,云浮市,Yunfu,Guangdong
342,青海省,4,西北,玉树藏族自治州,Yushu,Qinghai
343,云南省,4,西南,玉溪市,Yuxi,Yunnan
344,山东省,4,华东,枣庄市,Zaozhuang,Shandong
345,湖南省,4,华中,张家界市,Zhangjiajie,Hunan
346,河北省,4,华北,张家口市,Zhangjiakou,Hebei
347,甘肃省,4,西北,张掖市,Zhangye,Gansu
348,福建省,4,华东,漳州市,Zhangzhou,Fujian
349,广东省,4,华南,湛江市,Zhanjiang,Guangdong
350,广东省,4,华南,肇庆市,Zhaoqing,Guangdong
351,云南省,4,西南,昭通市,Zhaotong,Yunnan
352,江苏省,4,华东,镇江市,Zhenjiang,Jiangsu
353,广东省,4,华南,中山市,Zhongshan,Guangdong
354,甘肃省,4,西北,中卫市,Zhongwei,Gansu
355,河南省,4,华中,周口市,Zhoukou,Henan
356,浙江省,4,华东,舟山市,Zhoushan,Zhejiang
357,广东省,4,华南,珠海市,Zhuhai,Guangdong
358,河南省,4,华中,驻马店市,Zhumadian,Henan
359,湖南省,4,华中,株洲市,Zhuzhou,Hunan
360,四川省,4,西南,自贡市,Zigong,Sichuan
361,四川省,4,西南,资阳市,Ziyang,Sichuan
362,贵州省,4,西南,遵义市,Zunyi,Guizhou
