 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2009- 8- 9  0: 0: 0,     1.918,     2.533,     3.123,     2.600,   278.395,     1.062,     0.519,     6.336,     0.044,     0.559,   272.470,    82.600
2009- 8-10  0: 0: 0,     1.208,     3.243,     3.998,     3.120,   275.399,     1.051,     0.485,     5.865,     0.002,     0.020,   219.730,    84.800
2009- 8-11  0: 0: 0,     0.495,     3.360,     4.142,     3.829,   271.570,     1.036,     0.454,     5.485,     0.000,     0.000,   185.483,    83.500
2009- 8-12  0: 0: 0,     0.138,     3.664,     4.517,     4.569,   267.027,     1.019,     0.425,     5.180,     0.001,     0.007,   167.523,    80.000
2009- 8-13  0: 0: 0,     0.889,     3.273,     4.035,     3.883,   263.496,     1.005,     0.402,     5.084,     0.024,     0.294,   191.314,    75.200
2009- 8-14  0: 0: 0,     0.038,     3.489,     4.302,     4.288,   259.208,     0.989,     0.378,     4.797,     0.000,     0.000,   154.673,    70.100
2009- 8-15  0: 0: 0,     0.001,     3.681,     4.538,     4.488,   254.719,     0.972,     0.355,     4.578,     0.000,     0.000,   128.330,    66.800
2009- 8-16  0: 0: 0,     2.741,     3.604,     4.444,     4.053,   252.210,     0.962,     0.350,     4.855,     0.110,     0.782,   106.280,    65.200
2009- 8-17  0: 0: 0,    30.160,     2.318,     2.858,     2.847,   260.681,     0.995,     0.618,    14.354,     1.976,    16.855,   433.370,    66.500
2009- 8-18  0: 0: 0,     2.390,     2.447,     3.017,     1.975,   259.678,     0.991,     0.593,    13.806,     0.036,     0.346,   616.904,    75.200
2009- 8-19  0: 0: 0,     1.996,     3.930,     4.845,     4.070,   256.294,     0.978,     0.569,    12.927,     0.045,     0.525,   670.918,    92.500
2009- 8-20  0: 0: 0,     1.683,     2.964,     3.654,     2.975,   254.160,     0.970,     0.545,    11.547,     0.038,     0.180,   647.553,   125.000
2009- 8-21  0: 0: 0,    12.500,     3.421,     4.218,     3.565,   256.024,     0.977,     0.617,    13.253,     0.697,     5.751,   908.666,   169.000
2009- 8-22  0: 0: 0,     0.015,     2.422,     2.986,     2.902,   253.123,     0.966,     0.579,    11.071,     0.000,     0.000,   786.728,   217.000
2009- 8-23  0: 0: 0,     0.006,     2.299,     2.835,     2.729,   250.393,     0.955,     0.544,     8.993,     0.000,     0.000,   602.312,   257.000
2009- 8-24  0: 0: 0,     0.000,     2.690,     3.316,     3.167,   247.226,     0.943,     0.511,     7.367,     0.000,     0.000,   432.718,   269.000
2009- 8-25  0: 0: 0,     0.000,     3.502,     4.318,     4.073,   243.153,     0.928,     0.479,     6.212,     0.000,     0.000,   301.636,   243.000
2009- 8-26  0: 0: 0,     9.458,     3.888,     4.794,     3.875,   245.950,     0.938,     0.513,     6.312,     0.428,     1.538,   212.159,   209.000
2009- 8-27  0: 0: 0,     1.794,     3.190,     3.933,     3.286,   243.774,     0.930,     0.493,     5.867,     0.062,     0.151,   191.889,   184.000
2009- 8-28  0: 0: 0,    51.993,     2.722,     3.356,     3.356,   259.432,     0.990,     0.977,    22.270,     3.520,    29.459,   260.409,   170.000
2009- 8-29  0: 0: 0,    46.524,     0.697,     0.859,     0.859,   262.050,     1.000,     1.420,    44.421,     3.305,    39.743,   835.497,   265.000
2009- 8-30  0: 0: 0,     0.095,     2.270,     2.798,     2.773,   259.305,     0.989,     1.356,    41.879,     0.003,     0.039,  1505.572,  1200.000
2009- 8-31  0: 0: 0,     0.015,     2.404,     2.964,     2.916,   256.389,     0.978,     1.290,    36.714,     0.000,     0.000,  1858.779,  2130.000
2009- 9- 1  0: 0: 0,     0.239,     2.416,     2.978,     2.782,   253.699,     0.968,     1.223,    30.445,     0.002,     0.010,  1862.649,  1930.000
2009- 9- 2  0: 0: 0,     0.025,     2.340,     2.885,     2.769,   250.930,     0.957,     1.156,    24.373,     0.000,     0.000,  1618.538,  1320.000
2009- 9- 3  0: 0: 0,     0.853,     2.684,     3.309,     3.138,   248.181,     0.947,     1.097,    19.470,     0.048,     0.378,  1275.660,   945.000
2009- 9- 4  0: 0: 0,     0.786,     3.178,     3.918,     3.575,   245.147,     0.935,     1.037,    15.576,     0.021,     0.060,   952.398,   703.000
2009- 9- 5  0: 0: 0,     0.000,     3.419,     4.215,     3.942,   241.204,     0.920,     0.975,    12.737,     0.000,     0.000,   678.177,   564.000
2009- 9- 6  0: 0: 0,     1.135,     3.510,     4.327,     3.589,   238.216,     0.909,     0.920,    10.795,     0.021,     0.053,   470.634,   471.000
2009- 9- 7  0: 0: 0,     0.212,     2.335,     2.878,     2.420,   235.795,     0.900,     0.865,     9.473,     0.000,     0.000,   324.594,   396.000
2009- 9- 8  0: 0: 0,     0.250,     1.333,     1.643,     1.251,   234.544,     0.895,     0.813,     8.607,     0.000,     0.000,   226.987,   332.000
2009- 9- 9  0: 0: 0,     0.010,     1.006,     1.241,     1.100,   233.444,     0.891,     0.764,     8.039,     0.000,     0.000,   163.854,   276.000
2009- 9-10  0: 0: 0,     0.000,     2.038,     2.512,     2.234,   231.210,     0.882,     0.719,     7.660,     0.000,     0.000,   123.588,   244.000
2009- 9-11  0: 0: 0,     0.055,     2.311,     2.849,     2.468,   228.747,     0.873,     0.677,     7.397,     0.000,     0.000,    97.784,   238.000
2009- 9-12  0: 0: 0,     0.191,     1.789,     2.206,     1.850,   226.992,     0.866,     0.639,     7.205,     0.004,     0.008,    80.836,   233.000
2009- 9-13  0: 0: 0,     0.351,     2.159,     2.662,     2.061,   225.001,     0.858,     0.603,     7.049,     0.001,     0.002,    69.216,   200.000
2009- 9-14  0: 0: 0,     4.003,     1.133,     1.397,     1.140,   227.035,     0.866,     0.600,     7.137,     0.205,     0.394,    88.095,   170.000
2009- 9-15  0: 0: 0,     1.697,     1.654,     2.039,     1.630,   226.674,     0.865,     0.574,     7.026,     0.049,     0.098,    87.710,   158.000
2009- 9-16  0: 0: 0,     6.904,     1.410,     1.739,     1.653,   230.690,     0.880,     0.599,     7.296,     0.377,     0.778,    92.888,   159.000
2009- 9-17  0: 0: 0,     2.205,     1.348,     1.661,     1.231,   231.071,     0.882,     0.577,     7.173,     0.066,     0.143,    97.547,   163.000
2009- 9-18  0: 0: 0,     4.173,     0.574,     0.707,     0.705,   233.754,     0.892,     0.585,     7.248,     0.251,     0.532,   100.394,   170.000
2009- 9-19  0: 0: 0,     8.770,     0.938,     1.157,     1.130,   239.539,     0.914,     0.637,     7.732,     0.552,     1.277,    99.750,   165.000
2009- 9-20  0: 0: 0,     9.645,     0.653,     0.805,     0.781,   245.970,     0.938,     0.702,     8.497,     0.641,     1.769,   194.449,   159.000
2009- 9-21  0: 0: 0,     0.001,     2.359,     2.908,     2.727,   243.243,     0.928,     0.668,     8.052,     0.000,     0.000,   230.367,   175.000
2009- 9-22  0: 0: 0,     0.001,     2.495,     3.076,     2.853,   240.391,     0.917,     0.635,     7.534,     0.000,     0.000,   220.338,   206.000
2009- 9-23  0: 0: 0,     0.148,     2.755,     3.396,     2.976,   237.415,     0.906,     0.605,     7.033,     0.000,     0.000,   186.705,   201.000
2009- 9-24  0: 0: 0,     3.707,     1.032,     1.273,     1.084,   239.178,     0.913,     0.606,     6.889,     0.212,     0.503,   148.648,   193.000
2009- 9-25  0: 0: 0,     0.410,     1.548,     1.908,     1.461,   237.812,     0.907,     0.579,     6.541,     0.002,     0.007,   116.068,   184.000
2009- 9-26  0: 0: 0,     0.627,     1.745,     2.151,     1.661,   236.412,     0.902,     0.554,     6.247,     0.007,     0.016,    91.470,   173.000
2009- 9-27  0: 0: 0,     0.369,     1.596,     1.967,     1.663,   234.953,     0.896,     0.530,     5.999,     0.008,     0.019,    75.538,   162.000
2009- 9-28  0: 0: 0,     0.000,     2.284,     2.816,     2.522,   232.431,     0.887,     0.507,     5.775,     0.000,     0.000,    65.676,   154.000
2009- 9-29  0: 0: 0,     0.000,     2.375,     2.927,     2.595,   229.836,     0.877,     0.486,     5.577,     0.000,     0.000,    58.569,   152.000
2009- 9-30  0: 0: 0,     0.001,     2.411,     2.972,     2.604,   227.232,     0.867,     0.466,     5.397,     0.000,     0.000,    51.950,   155.000
2009-10- 1  0: 0: 0,     0.000,     2.463,     3.036,     2.630,   224.602,     0.857,     0.448,     5.234,     0.000,     0.000,    45.648,   146.000
2009-10- 2  0: 0: 0,     0.000,     2.374,     2.926,     2.506,   222.097,     0.847,     0.431,     5.083,     0.000,     0.000,    39.924,   119.000
2009-10- 3  0: 0: 0,     0.001,     2.421,     2.985,     2.526,   219.571,     0.838,     0.416,     4.943,     0.000,     0.000,    34.963,   111.000
2009-10- 4  0: 0: 0,     0.011,     2.178,     2.686,     2.238,   217.333,     0.829,     0.401,     4.811,     0.000,     0.000,    30.791,   112.000
2009-10- 5  0: 0: 0,     0.001,     2.231,     2.751,     2.278,   215.055,     0.820,     0.388,     4.684,     0.000,     0.000,    27.325,   114.000
2009-10- 6  0: 0: 0,     0.033,     2.292,     2.825,     2.290,   212.765,     0.812,     0.376,     4.562,     0.000,     0.000,    24.439,   117.000
2009-10- 7  0: 0: 0,     0.134,     1.795,     2.213,     1.723,   211.078,     0.805,     0.365,     4.443,     0.000,     0.001,    22.007,   117.000
2009-10- 8  0: 0: 0,     0.173,     1.537,     1.895,     1.387,   209.694,     0.800,     0.355,     4.325,     0.000,     0.000,    19.924,   113.000
2009-10- 9  0: 0: 0,     1.027,     0.976,     1.204,     0.734,   209.558,     0.800,     0.347,     4.222,     0.014,     0.023,    18.206,   107.000
2009-10-10  0: 0: 0,     0.892,     1.226,     1.511,     0.835,   209.066,     0.798,     0.340,     4.115,     0.009,     0.015,    17.289,   100.000
2009-10-11  0: 0: 0,     1.285,     1.098,     1.354,     0.860,   209.017,     0.797,     0.335,     4.019,     0.022,     0.036,    17.594,    99.700
2009-10-12  0: 0: 0,     0.855,     0.757,     0.934,     0.762,   208.961,     0.797,     0.333,     3.936,     0.038,     0.059,    18.959,   102.000
2009-10-13  0: 0: 0,     0.020,     1.644,     2.026,     1.598,   207.363,     0.791,     0.326,     3.816,     0.000,     0.000,    20.699,   101.000
2009-10-14  0: 0: 0,     0.002,     1.779,     2.193,     1.731,   205.632,     0.785,     0.319,     3.693,     0.000,     0.000,    20.179,    98.700
2009-10-15  0: 0: 0,     0.006,     1.933,     2.383,     1.863,   203.769,     0.777,     0.313,     3.569,     0.000,     0.000,    18.246,    95.500
2009-10-16  0: 0: 0,     0.001,     1.679,     2.070,     1.607,   202.161,     0.771,     0.307,     3.448,     0.000,     0.000,    15.905,    87.900
2009-10-17  0: 0: 0,     0.001,     1.776,     2.189,     1.685,   200.476,     0.765,     0.302,     3.330,     0.000,     0.000,    13.717,    79.800
2009-10-18  0: 0: 0,     0.103,     0.811,     0.999,     0.689,   199.791,     0.762,     0.297,     3.217,     0.000,     0.000,    11.882,    78.400
2009-10-19  0: 0: 0,     0.002,     0.890,     1.098,     0.836,   198.955,     0.759,     0.292,     3.106,     0.000,     0.000,    10.411,    79.700
2009-10-20  0: 0: 0,     0.067,     1.629,     2.008,     1.501,   197.482,     0.753,     0.288,     2.999,     0.000,     0.000,     9.241,    80.600
2009-10-21  0: 0: 0,     0.010,     1.679,     2.069,     1.550,   195.932,     0.748,     0.283,     2.894,     0.000,     0.000,     8.298,    80.900
2009-10-22  0: 0: 0,     0.000,     1.535,     1.892,     1.414,   194.518,     0.742,     0.279,     2.791,     0.000,     0.000,     7.518,    80.700
2009-10-23  0: 0: 0,     0.000,     1.634,     2.014,     1.493,   193.026,     0.736,     0.276,     2.691,     0.000,     0.000,     6.866,    80.200
2009-10-24  0: 0: 0,     0.006,     1.372,     1.691,     1.240,   191.788,     0.732,     0.272,     2.592,     0.000,     0.000,     6.299,    79.800
2009-10-25  0: 0: 0,     0.000,     1.357,     1.672,     1.222,   190.566,     0.727,     0.269,     2.496,     0.000,     0.000,     5.791,    79.400
2009-10-26  0: 0: 0,     0.122,     1.415,     1.744,     1.179,   189.387,     0.723,     0.266,     2.401,     0.000,     0.000,     5.333,    78.500
2009-10-27  0: 0: 0,     0.000,     1.255,     1.547,     1.118,   188.269,     0.718,     0.263,     2.308,     0.000,     0.000,     4.916,    76.000
2009-10-28  0: 0: 0,     0.023,     1.627,     2.006,     1.421,   186.848,     0.713,     0.260,     2.218,     0.000,     0.000,     4.538,    71.200
2009-10-29  0: 0: 0,     0.940,     1.221,     1.506,     1.020,   186.500,     0.712,     0.262,     2.154,     0.031,     0.042,     9.376,    63.200
2009-10-30  0: 0: 0,     1.015,     1.243,     1.533,     1.108,   186.212,     0.710,     0.266,     2.095,     0.047,     0.060,     8.240,    54.000
2009-10-31  0: 0: 0,    16.235,     0.754,     0.930,     0.930,   198.901,     0.759,     0.423,     2.867,     1.108,     1.508,    23.323,    47.500
2009-11- 1  0: 0: 0,     0.000,     1.181,     1.456,     1.103,   197.799,     0.755,     0.415,     2.743,     0.000,     0.000,    42.839,    45.400
2009-11- 2  0: 0: 0,     0.085,     1.001,     1.234,     0.889,   196.935,     0.751,     0.405,     2.568,     0.001,     0.001,    51.954,    47.100
2009-11- 3  0: 0: 0,     0.030,     1.171,     1.444,     1.061,   195.874,     0.747,     0.395,     2.369,     0.000,     0.000,    53.155,    50.700
2009-11- 4  0: 0: 0,     0.005,     1.049,     1.294,     0.960,   194.914,     0.744,     0.385,     2.169,     0.000,     0.000,    48.987,    54.900
2009-11- 5  0: 0: 0,     0.008,     1.327,     1.636,     1.209,   193.706,     0.739,     0.375,     1.985,     0.000,     0.000,    42.112,    58.400
2009-11- 6  0: 0: 0,     0.208,     1.363,     1.680,     1.084,   192.622,     0.735,     0.365,     1.823,     0.000,     0.000,    34.683,    57.300
2009-11- 7  0: 0: 0,     0.042,     1.332,     1.642,     1.173,   191.448,     0.730,     0.356,     1.685,     0.000,     0.000,    27.992,    52.100
2009-11- 8  0: 0: 0,     0.286,     1.646,     2.029,     1.333,   190.187,     0.726,     0.346,     1.573,     0.003,     0.004,    22.563,    46.600
2009-11- 9  0: 0: 0,     9.587,     0.710,     0.876,     0.856,   197.406,     0.753,     0.429,     1.968,     0.631,     0.863,    50.572,    46.600
2009-11-10  0: 0: 0,     0.175,     0.318,     0.392,     0.262,   197.248,     0.753,     0.415,     1.831,     0.003,     0.005,    60.695,    50.900
2009-11-11  0: 0: 0,     3.603,     0.459,     0.566,     0.526,   199.750,     0.762,     0.433,     1.864,     0.225,     0.327,    68.783,    54.800
2009-11-12  0: 0: 0,     1.590,     0.305,     0.376,     0.314,   200.741,     0.766,     0.431,     1.781,     0.092,     0.146,    74.599,    58.300
2009-11-13  0: 0: 0,     0.558,     0.747,     0.921,     0.594,   200.468,     0.765,     0.416,     1.617,     0.008,     0.013,    66.569,    61.400
2009-11-14  0: 0: 0,     0.081,     0.835,     1.029,     0.726,   199.742,     0.762,     0.401,     1.467,     0.000,     0.000,    58.041,    63.900
2009-11-15  0: 0: 0,     2.565,     0.486,     0.599,     0.532,   201.365,     0.768,     0.408,     1.461,     0.149,     0.217,    52.876,    65.800
2009-11-16  0: 0: 0,     0.325,     0.301,     0.371,     0.267,   201.341,     0.768,     0.395,     1.355,     0.013,     0.019,    46.133,    66.600
2009-11-17  0: 0: 0,     1.007,     0.647,     0.798,     0.568,   201.534,     0.769,     0.388,     1.284,     0.045,     0.068,    41.327,    65.700
