 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2013- 5- 9  0: 0: 0,     0.456,     1.541,     1.900,     1.034,   155.462,     0.593,     0.299,     0.653,     0.008,     0.013,    58.757,    19.400
2013- 5-10  0: 0: 0,     0.140,     1.721,     2.121,     1.201,   154.311,     0.589,     0.284,     0.559,     0.002,     0.008,    57.805,    27.600
2013- 5-11  0: 0: 0,     0.097,     3.291,     4.057,     2.347,   151.981,     0.580,     0.269,     0.461,     0.000,     0.002,    51.677,    35.900
2013- 5-12  0: 0: 0,     0.009,     3.301,     4.070,     2.365,   149.617,     0.571,     0.254,     0.376,     0.000,     0.000,    43.928,    42.500
2013- 5-13  0: 0: 0,     0.080,     3.280,     4.044,     2.312,   147.355,     0.562,     0.240,     0.313,     0.002,     0.007,    36.536,    43.500
2013- 5-14  0: 0: 0,     0.135,     3.248,     4.005,     2.178,   145.177,     0.554,     0.227,     0.266,     0.000,     0.000,    30.335,    40.400
2013- 5-15  0: 0: 0,     1.507,     1.699,     2.095,     1.113,   145.112,     0.554,     0.223,     0.273,     0.059,     0.072,    26.867,    36.500
2013- 5-16  0: 0: 0,     0.504,     1.856,     2.288,     1.203,   144.193,     0.550,     0.212,     0.261,     0.014,     0.021,    26.366,    31.300
2013- 5-17  0: 0: 0,     8.875,     1.489,     1.836,     1.777,   150.287,     0.573,     0.275,     0.496,     0.512,     0.449,    27.216,    25.700
2013- 5-18  0: 0: 0,     0.069,     1.522,     1.877,     1.043,   149.252,     0.569,     0.262,     0.469,     0.000,     0.000,    28.059,    20.700
2013- 5-19  0: 0: 0,     0.041,     2.612,     3.220,     1.818,   147.449,     0.563,     0.250,     0.429,     0.000,     0.001,    29.589,    21.000
2013- 5-20  0: 0: 0,     0.024,     2.920,     3.600,     2.012,   145.437,     0.555,     0.237,     0.381,     0.000,     0.000,    29.306,    23.400
2013- 5-21  0: 0: 0,     0.097,     3.138,     3.869,     2.099,   143.338,     0.547,     0.226,     0.332,     0.000,     0.000,    27.196,    21.900
2013- 5-22  0: 0: 0,     0.039,     3.085,     3.803,     2.071,   141.266,     0.539,     0.214,     0.291,     0.000,     0.000,    24.131,    17.100
2013- 5-23  0: 0: 0,     0.678,     2.904,     3.580,     1.859,   139.747,     0.533,     0.205,     0.263,     0.014,     0.010,    20.920,    16.300
2013- 5-24  0: 0: 0,     2.674,     2.498,     3.079,     1.763,   140.028,     0.534,     0.211,     0.294,     0.107,     0.098,    18.091,    18.900
