,City,Annual Radiation,Radiation,Province_en,City_en
41,潮州市,1487.3272351905332,1487.33,Guangdong,Chaozhou
42,东莞市,1417.4276646247636,1417.43,Guangdong,Dongguan
43,佛山市,1375.7287840828726,1375.73,Guangdong,Foshan
44,广州市,1369.294651149584,1369.29,Guangdong,Guangzhou
45,河源市,1370.363470628821,1370.36,Guangdong,Heyuan
46,惠州市,1401.0441767509342,1401.04,Guangdong,Huizhou
47,江门市,1409.2894884294778,1409.29,Guangdong,Jiangmen
48,揭阳市,1492.0437521265935,1492.04,Guangdong,Jieyang
49,茂名市,1456.8314847670513,1456.83,Guangdong,Maoming
50,梅州市,1427.3609090831044,1427.36,Guangdong,Meizhou
51,清远市,1308.787464645738,1308.79,Guangdong,Qingyuan
52,汕头市,1516.1637739035862,1516.16,Guangdong,Shantou
53,汕尾市,1474.3931398889342,1474.39,Guangdong,Shanwei
54,韶关市,1301.2435480561762,1301.24,Guangdong,Shaoguan
55,深圳市,1450.0823236910917,1450.08,Guangdong,Shenzhen
56,阳江市,1424.0995109405512,1424.1,Guangdong,Yangjiang
57,云浮市,1402.1061252390546,1402.11,Guangdong,Yunfu
58,湛江市,1531.6241773745885,1531.62,Guangdong,Zhanjiang
59,肇庆市,1362.7222513427737,1362.72,Guangdong,Zhaoqing
60,中山市,1427.260888354492,1427.26,Guangdong,Zhongshan
61,珠海市,1439.9486857910151,1439.95,Guangdong,Zhuhai
62,百色市,1348.4568232736897,1348.46,Guangxi,Baise
63,北海市,1487.068743884858,1487.07,Guangxi,Beihai
64,崇左市,1380.813345319084,1380.81,Guangxi,Chongzuo
65,防城港市,1394.7431369787446,1394.74,Guangxi,Fangchenggang
66,贵港市,1343.5874820282218,1343.59,Guangxi,Guigang
67,桂林市,1231.7646841362846,1231.76,Guangxi,Guilin
68,河池市,1244.2472246308375,1244.25,Guangxi,Hechi
69,贺州市,1290.7232836848957,1290.72,Guangxi,Hezhou
70,来宾市,1308.1671772964023,1308.17,Guangxi,Laibin
71,柳州市,1239.4060644008089,1239.41,Guangxi,Liuzhou
72,南宁市,1363.4723704440053,1363.47,Guangxi,Naning
73,钦州市,1409.396370183066,1409.4,Guangxi,Qinzhou
74,梧州市,1364.3416374636918,1364.34,Guangxi,Wuzhou
75,玉林市,1408.9382475453974,1408.94,Guangxi,Yulin(Gui)
76,安顺市,1201.8271202402836,1201.83,Guizhou,Anshun
77,毕节市,1237.0538222309729,1237.05,Guizhou,Bijie
78,贵阳市,1121.5932427827383,1121.59,Guizhou,Guiyang
79,六盘水市,1307.522769728076,1307.52,Guizhou,Liupanshui
80,黔东南苗族侗族自治州,1125.8786715758215,1125.88,Guizhou,Qiandongnan
81,黔南布依族苗族自治州,1148.603650188359,1148.6,Guizhou,Qiannan
82,黔西南布依族苗族自治州,1302.56580288727,1302.57,Guizhou,Qianxinan
83,铜仁市,1067.7252172808355,1067.73,Guizhou,Tongren
84,遵义市,1072.375871319529,1072.38,Guizhou,Zunyi
85,白沙黎族自治县,1635.2167604906483,1635.22,Hainan,Baisha
86,保亭黎族苗族自治县,1658.767088160464,1658.77,Hainan,Baoting
87,昌江黎族自治县,1668.6727540922625,1668.67,Hainan,Changjiang
88,澄迈县,1592.091142050606,1592.09,Hainan,Chengmai
89,儋州市,1631.5904530775283,1631.59,Hainan,Danzhou
90,定安县,1563.3785945268123,1563.38,Hainan,Dingan
91,东方市,1687.3821397501636,1687.38,Hainan,Dongfang
92,海口市,1577.330373462819,1577.33,Hainan,Haikou
93,乐东黎族自治县,1683.7984778047446,1683.8,Hainan,Ledong
94,临高县,1620.849971533203,1620.85,Hainan,Lingao
95,陵水黎族自治县,1652.2657625793456,1652.27,Hainan,Lingshui
96,琼海市,1553.1325535060334,1553.13,Hainan,Qionghai
97,琼中黎族苗族自治县,1583.6825060380138,1583.68,Hainan,Qiongzhong
98,三沙市,1717.678966788456,1717.68,Hainan,Sansha
99,三亚市,1717.678966788456,1717.68,Hainan,Sanya
100,屯昌县,1575.107253609035,1575.11,Hainan,Tunchang
101,万宁市,1573.0854685465492,1573.09,Hainan,Wanning
102,文昌市,1561.3266181483111,1561.33,Hainan,Wenchang
103,五指山市,1651.3855414460832,1651.39,Hainan,Wuzhishan
104,保定市,1366.891445509327,1366.89,Hebei,Baoding
105,沧州市,1429.8475881440036,1429.85,Hebei,Cangzhou
106,承德市,1467.8499292137794,1467.85,Hebei,Chengde
107,邯郸市,1361.4242897076233,1361.42,Hebei,Handan
108,衡水市,1409.1690931296423,1409.17,Hebei,Hengshui
109,廊坊市,1366.4290836895636,1366.43,Hebei,Langfang
110,秦皇岛市,1439.114181405698,1439.11,Hebei,Qinhuangdao
111,石家庄市,1373.185080484555,1373.19,Hebei,Shijiazhuang
112,唐山市,1403.7437404104764,1403.74,Hebei,Tangshan
113,邢台市,1360.3204371262536,1360.32,Hebei,Xingtai
114,张家口市,1517.1890982732498,1517.19,Hebei,Zhangjiakou
115,安阳市,1339.887762047077,1339.89,Henan,Anyang
116,鹤壁市,1309.733326341418,1309.73,Henan,Hebi
117,济源市,1339.709560268826,1339.71,Henan,Jiyuan
118,焦作市,1339.2772854444163,1339.28,Henan,Jiaozuo
119,开封市,1293.6618040216615,1293.66,Henan,Kaifeng
120,洛阳市,1305.7772403468584,1305.78,Henan,Luoyang
121,漯河市,1276.8195763943145,1276.82,Henan,Luohe
122,南阳市,1272.342595753366,1272.34,Henan,Nanyang
123,平顶山市,1282.1079754262194,1282.11,Henan,Pingdingshan
124,濮阳市,1347.4487924804696,1347.45,Henan,Puyang
125,三门峡市,1335.105621873594,1335.11,Henan,Sanmenxia
126,商丘市,1325.3071218108064,1325.31,Henan,Shangqiu
127,新乡市,1316.4347378529333,1316.43,Henan,Xinxiang
128,信阳市,1266.308516328828,1266.31,Henan,Xinyang
129,许昌市,1293.9295122070307,1293.93,Henan,Xuchang
130,郑州市,1316.008955429505,1316.01,Henan,Zhengzhou
131,周口市,1277.859756616709,1277.86,Henan,Zhoukou
132,驻马店市,1265.3668533738655,1265.37,Henan,Zhumadian
133,大庆市,1371.8920757780998,1371.89,Heilongjiang,Daqing
134,大兴安岭地区,1246.0539099961206,1246.05,Heilongjiang,Dahingganling
135,哈尔滨市,1284.9184497688475,1284.92,Heilongjiang,Harbin
136,鹤岗市,1275.0616690937118,1275.06,Heilongjiang,Hegang
137,黑河市,1290.7209441401883,1290.72,Heilongjiang,Heihe
138,鸡西市,1299.4261334986472,1299.43,Heilongjiang,Jixi
139,佳木斯市,1294.412763429303,1294.41,Heilongjiang,Jiamusi
